Variable,UNIT,COU,Country,Year,Value
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2010,145.8
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2011,151.5
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2012,153.5
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2013,150.0
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2014,151.9
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2015,151.3
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2016,149.5
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2017,149.3
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2018,150.8
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2019,144.2
A-Alimentary tract and metabolism,NBPYEANB,AUS,Australia,2020,139.2
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2010,115.9
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2011,116.9
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2012,119.4
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2013,121.3
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2014,148.3
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2015,145.2
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2016,128.6
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2017,135.6
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2018,143.5
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2019,144.4
A-Alimentary tract and metabolism,NBPYEANB,AUT,Austria,2020,148.3
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2010,148.5
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2011,153.9
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2012,159.5
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2013,165.3
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2014,170.9
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2015,177.9
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2016,189.0
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2017,174.3
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2018,181.1
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2019,187.1
A-Alimentary tract and metabolism,NBPYEANB,BEL,Belgium,2020,189.4
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2010,107.8
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2011,111.1
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2012,112.5
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2013,114.2
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2014,117.6
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2015,119.3
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2016,196.0
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2017,198.1
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2018,203.1
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2019,210.5
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2020,235.1
A-Alimentary tract and metabolism,NBPYEANB,CAN,Canada,2021,259.9
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2010,236.8
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2011,241.0
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2012,247.2
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2013,256.7
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2014,260.6
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2015,281.7
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2016,286.7
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2017,293.0
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2018,307.0
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2019,304.1
A-Alimentary tract and metabolism,NBPYEANB,CZE,Czech Republic,2020,337.7
